,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
19,Hatalara İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
20,Hatalara İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
21,Diğer Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
22,Diğer Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
23,Düzeltmelerden Sonraki Tutar,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
24,Düzeltmelerden Sonraki Tutar,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
25,Transferler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,2.138.037,-2.138.037,,,,0
26,Transferler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
27,Toplam Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,3.574.618,,,5.688.118,,29.019,9.040.197,,18.331.952,362.863,18.694.815
28,Toplam Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
29,Dönem Karı (Zararı),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
30,Dönem Karı (Zararı),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
31,Diğer Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
32,Diğer Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
33,Sermaye Arttırımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,1.297,1.297
34,Sermaye Arttırımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
35,Sermaye Azaltımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
36,Sermaye Azaltımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
37,Sermaye Avansı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
38,Sermaye Avansı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,
39,Birleşme/Bölünme/Tasfiye Etkisi,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,,0
40,Birleşme/Bölünme/Tasfiye Etkisi,,,,,,,,,,,,,,,,,,
41,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,122.918,,,122.918,6,122.924,
42,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,,
43,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,0,
44,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,,
45,Kar Payları,,,,,,,,,,,,-499.017,,,-499.017,-33.261,-532.278,
46,Kar Payları,,,,,,,,,,,,,,,,,,
47,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,0,
48,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,,
49,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,-39.213,,,,,,,,-309.936,,,-349.149,,-349.149,
50,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,,
51,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,0,
52,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,,
53,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,12.500.384,12.500.384,
54,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,,
55,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,-1,,,-1,,-1,
56,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,,
57,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,0,
58,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,,
59,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,0,
60,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,,
61,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
62,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
63,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
64,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
65,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
66,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
67,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
68,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
69,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,0,
70,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,,
71,Dönem Sonu Bakiyeler,,3.063.214,320.075,-39.213,167.048,,6.139.201,,,9.213.439,1.517.852,10.379.285,9.040.197,,39.801.098,13.128.127,52.929.225,
72,Dönem Sonu Bakiyeler,,,,,,,,,,,,,,,,,,
73,,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
74,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
75,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
76,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
77,Özkaynaklar Değişim Tablosu,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
78,Dönem Başı Bakiyeler,Cari Dönem 01.01.2022 - 31.12.2022,,3.063.214,320.075,-39.213,167.048,,6.139.201,,,8.874.058,1.517.852,10.256.361,9.133.285,,39.431.881,9.931.827,49.363.708
79,Dönem Başı Bakiyeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
80,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
81,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
82,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
83,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
84,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
85,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
86,Hatalara İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
87,Hatalara İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
88,Diğer Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,2,,,,,,,,,339.381,,122.924,-93.088,,369.217,3.196.300,3.565.517
89,Diğer Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
90,Düzeltmelerden Sonraki Tutar,Cari Dönem 01.01.2022 - 31.12.2022,,3.063.214,320.075,-39.213,167.048,,6.139.201,,,9.213.439,1.517.852,10.379.285,9.040.197,,39.801.098,13.128.127,52.929.225
91,Düzeltmelerden Sonraki Tutar,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
92,Transferler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,-382.020,9.422.217,-9.040.197,,,,0
93,Transferler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
94,Toplam Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,9.600.560,,,8.288.849,,54.005,19.345.059,,37.288.473,6.676.265,43.964.738
95,Toplam Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
96,Dönem Karı (Zararı),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
97,Dönem Karı (Zararı),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
98,Diğer Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
99,Diğer Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
100,Sermaye Arttırımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
101,Sermaye Arttırımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
102,Sermaye Azaltımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
103,Sermaye Azaltımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
104,Sermaye Avansı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
105,Sermaye Avansı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,
106,Birleşme/Bölünme/Tasfiye Etkisi,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,,0
107,Birleşme/Bölünme/Tasfiye Etkisi,,,,,,,,,,,,,,,,,,
108,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,0,
109,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,,
110,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,0,
111,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,,
112,Kar Payları,,,,,,,,,,,,-1.216.875,,,-1.216.875,-1.204.536,-2.421.411,
113,Kar Payları,,,,,,,,,,,,,,,,,,
114,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,0,
115,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,,
116,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,-12.536,,,,,,,,667.751,,,655.215,,655.215,
117,Payların Geri Alım İşlemleri Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,,
118,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,0,
119,Pay Bazlı İşlemler Nedeniyle Meydana Gelen Artış (Azalış),,,,,,,,,,,,,,,,,,
120,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,0,
121,Bağlı Ortaklık Edinimi veya Elden Çıkarılması,,,,,,,,,,,,,,,,,,
122,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,0,
123,Bağlı Ortaklıklarda Kontrol Kaybı ile Sonuçlanmayan Pay Oranı Değişikliklerine Bağlı Artış/Azalış,,,,,,,,,,,,,,,,,,
124,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,0,
125,Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan İşlemler,,,,,,,,,,,,,,,,,,
126,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,0,
127,Pay Sahiplerinin Diğer Katkıları,,,,,,,,,,,,,,,,,,
128,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
129,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
130,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
131,Opsiyonların Zaman Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
132,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
133,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
134,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,0,
135,Yabancı Para Alım Satım Marjlarındaki Değişiklikler Kaleminden Çıkarılan ve Finansal Olmayan Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer Riskinden Korunma Muhasebesi Uygulanan Kesin Taahhüdün Başlangıç Maliyetine veya Defter Değerine Dahil Edilen Tutar,,,,,,,,,,,,,,,,,,
136,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,0,
137,Diğer Değişiklikler Nedeni İle Artış (Azalış),,,,,,,,,,,,,,,,,,
138,Dönem Sonu Bakiyeler,,3.063.214,320.075,-51.749,167.048,,15.739.761,,,17.502.288,1.135.832,19.306.383,19.345.059,,76.527.911,18.599.856,95.127.767,
139,Dönem Sonu Bakiyeler,,,,,,,,,,,,,,,,,,
