,0,1,2,3,4,5,6,7
61,,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,,,
62,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,,,,
63,,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,,,
64,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,,,,
65,,BRÜT KAR (ZARAR),,19.322.516,15.287.681,9.746.583,8.639.293,
66,BRÜT KAR (ZARAR),,,,,,,
67,,Genel Yönetim Giderleri,22,-3.463.688,-1.893.578,-1.844.728,-1.027.136,
68,Genel Yönetim Giderleri,,,,,,,
69,,Pazarlama Giderleri,22,-7.708.468,-5.492.685,-4.114.022,-3.140.108,
70,Pazarlama Giderleri,,,,,,,
71,,Araştırma ve Geliştirme Giderleri,22,-158.348,-87.368,-78.470,-27.658,
72,Araştırma ve Geliştirme Giderleri,,,,,,,
73,,Esas Faaliyetlerden Diğer Gelirler,23,6.801.670,3.338.916,5.411.826,1.934.888,
74,Esas Faaliyetlerden Diğer Gelirler,,,,,,,
75,,Esas Faaliyetlerden Diğer Giderler,23,-4.813.806,-2.636.573,-3.583.750,-1.537.718,
76,Esas Faaliyetlerden Diğer Giderler,,,,,,,
77,,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,13,420.832,392.258,267.847,301.366,
78,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,,,,,,,
79,,Diğer Kazançlar (Kayıplar),,,,,,
80,Diğer Kazançlar (Kayıplar),,,,,,,
81,,ESAS FAALİYET KARI (ZARARI),,10.400.708,8.908.651,5.805.286,5.142.927,
82,ESAS FAALİYET KARI (ZARARI),,,,,,,
83,,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,,,
84,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,,,,
85,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,,,
86,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,,,,
87,,Yatırım Faaliyetlerinden Gelirler,24,1.547.311,1.265.750,1.370.643,657.354,
88,Yatırım Faaliyetlerinden Gelirler,,,,,,,
89,,Yatırım Faaliyetlerinden Giderler,24,-123.244,-491.909,-118.702,-294.895,
90,Yatırım Faaliyetlerinden Giderler,,,,,,,
91,,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,24,25.020,-16.649,-6.792,3.761,
92,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,,,,,,,
93,,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,,,
94,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,,,,
95,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,
96,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,,
97,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,
98,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,,
99,,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,
100,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,,
101,,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,11.849.795,9.665.843,7.050.435,5.509.147,
102,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,,,,,,
103,,Finansman Gelirleri,25,7.460.967,6.100.362,5.830.114,3.394.435,
104,Finansman Gelirleri,,,,,,,
105,,Finansman Giderleri,25,-7.767.763,-6.389.733,-5.498.294,-3.167.831,
106,Finansman Giderleri,,,,,,,
107,,Net Parasal Pozisyon Kazançları (Kayıpları),,,,,,
108,Net Parasal Pozisyon Kazançları (Kayıpları),,,,,,,
109,,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,11.542.999,9.376.472,7.382.255,5.735.751,
110,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,,,,,,
111,,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,-2.461.568,-135.744,-1.036.858,-197.917,
112,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,,,,,,
113,,Dönem Vergi (Gideri) Geliri,26,-1.205.733,-1.196.569,-13.388,-633.323,
114,Dönem Vergi (Gideri) Geliri,,,,,,,
115,,Ertelenmiş Vergi (Gideri) Geliri,26,-1.255.835,1.060.825,-1.023.470,435.406,
116,Ertelenmiş Vergi (Gideri) Geliri,,,,,,,
117,,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,9.081.431,9.240.728,6.345.397,5.537.834,
118,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,,
119,,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,
120,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,,
121,,DÖNEM KARI (ZARARI),,9.081.431,9.240.728,6.345.397,5.537.834,
122,DÖNEM KARI (ZARARI),,,,,,,
123,,Dönem Karının (Zararının) Dağılımı,,,,,,
124,Dönem Karının (Zararının) Dağılımı,,,,,,,
125,,Kontrol Gücü Olmayan Paylar,,1.012.633,333.153,640.386,200.430,
126,Kontrol Gücü Olmayan Paylar,,,,,,,
127,,Ana Ortaklık Payları,,8.068.798,8.907.575,5.705.011,5.337.404,
128,Ana Ortaklık Payları,,,,,,,
129,,Pay Başına Kazanç,,,,,,
130,Pay Başına Kazanç,,,,,,,
131,,Pay Başına Kazanç,,,,,,
132,Pay Başına Kazanç,,,,,,,
133,,Pay Başına Kazanç (Zarar),,,,,,
134,Pay Başına Kazanç (Zarar),,,,,,,
135,,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,
136,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,,
137,,,Pay Başına Kazanç,27,284190000,298550000,195420000,178450000.0
138,,Durdurulan Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,
139,Durdurulan Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,,
140,,Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
141,Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
142,,Sürdürülen Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
143,Sürdürülen Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
144,,Durdurulan Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
145,Durdurulan Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
