,0,1,2,3,4,5,6
83,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Yeniden Sınıflandırılmasında Özkaynaklardan Çıkarılan ve Gerçeğe Uygun Değerde Yapılan Düzeltme Tutarı,,,,,
84,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Yeniden Sınıflandırılmasında Özkaynaklardan Çıkarılan ve Gerçeğe Uygun Değerde Yapılan Düzeltme Tutarı,,,,,,
85,,Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir (Gider),,-1.429.420,231.706,-197.396,-51.246
86,Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
87,,Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,
88,Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,,
89,,Nakit Akış Riskinden Korunma İşlemindeki Yeniden Sınıflandırma Düzeltmeleri,,,,,
90,Nakit Akış Riskinden Korunma İşlemindeki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
91,,Edinimi veya Yüklenimi Finansal Riskten Korunan Gerçekleşme Olasılığı Yüksek Tahmini İşlemin Konusunu Oluşturan Finansal Olmayan Varlığın (Yükümlülüğün) Defter Değerine Özkaynaklardan Çıkarılarak Eklenen Tutar,,,,,
92,Edinimi veya Yüklenimi Finansal Riskten Korunan Gerçekleşme Olasılığı Yüksek Tahmini İşlemin Konusunu Oluşturan Finansal Olmayan Varlığın (Yükümlülüğün) Defter Değerine Özkaynaklardan Çıkarılarak Eklenen Tutar,,,,,,
93,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma ile İlgili Diğer Kapsamlı Gelir (Gider),,-6.412.545,0,-5.879.937,0
94,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma ile İlgili Diğer Kapsamlı Gelir (Gider),,,,,,
95,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,
96,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,,
97,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunmadaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
98,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunmadaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
99,,Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
100,Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
101,,Opsiyonların Zaman Değerindeki Değişimden Kazançlar (Kayıplar),,,,,
102,Opsiyonların Zaman Değerindeki Değişimden Kazançlar (Kayıplar),,,,,,
103,,Opsiyonların Zaman Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,
104,Opsiyonların Zaman Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,,
105,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
106,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
107,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişimden Kazançlar (Kayıplar),,,,,
108,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişimden Kazançlar (Kayıplar),,,,,,
109,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,
110,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,,
111,,Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
112,Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
113,,Yabancı Para Alım Satım Marjlarındaki Değişimden Kazançlar (Kayıplar),,,,,
114,Yabancı Para Alım Satım Marjlarındaki Değişimden Kazançlar (Kayıplar),,,,,,
115,,Yabancı Para Alım Satım Marjlarındaki Değişikliklerdeki Yeniden Sınıflandırma Düzeltmeleri,,,,,
116,Yabancı Para Alım Satım Marjlarındaki Değişikliklerdeki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
117,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar,,,,,
118,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar,,,,,,
119,,Özkaynak Yöntemiyle Değerlenen Yatırımların Satılmaya Hazır Finansal Varlıklarının Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,
120,Özkaynak Yöntemiyle Değerlenen Yatırımların Satılmaya Hazır Finansal Varlıklarının Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,,
121,,Özkaynak Yöntemiyle Değerlenen Yatırımların Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,
122,Özkaynak Yöntemiyle Değerlenen Yatırımların Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,,
123,,Özkaynak Yöntemiyle Değerlenen Yatırımların Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,
124,Özkaynak Yöntemiyle Değerlenen Yatırımların Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,,
125,,Özkaynak Yöntemiyle Değerlenen Yatırımların Yabancı Para Çevrim Farkları Kazançları (Kayıpları),,,,,
126,Özkaynak Yöntemiyle Değerlenen Yatırımların Yabancı Para Çevrim Farkları Kazançları (Kayıpları),,,,,,
127,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kazançlar (Kayıplar),,,,,
128,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kazançlar (Kayıplar),,,,,,
129,,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları,,,,,
130,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları,,,,,,
131,,Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kapsamlı Gelire İlişkin Vergiler,,1.407.054,-43.917,1.216.805,13.334
132,Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kapsamlı Gelire İlişkin Vergiler,,,,,,
133,,Dönem Vergi (Gideri) Geliri,,,,,
134,Dönem Vergi (Gideri) Geliri,,,,,,
135,,Ertelenmiş Vergi (Gideri) Geliri,,,,,
136,Ertelenmiş Vergi (Gideri) Geliri,,,,,,
137,,"Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,
138,"Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,,
139,,"Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları), Vergi Etkisi",,,,,
140,"Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları), Vergi Etkisi",,,,,,
141,,"Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
142,"Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
143,,"Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
144,"Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
145,,"Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları), Vergi Etkisi",,,,,
146,"Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları), Vergi Etkisi",,,,,,
147,,"Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
148,"Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
149,,"Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
150,"Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
151,,"Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
152,"Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
153,,"Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar, Vergi Etkisi",,,,,
154,"Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar, Vergi Etkisi",,,,,,
155,,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,
156,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,,
157,,DİĞER KAPSAMLI GELİR (GİDER),,13.071.401,10.813.145,13.290.433,7.697.146
158,DİĞER KAPSAMLI GELİR (GİDER),,,,,,
159,,TOPLAM KAPSAMLI GELİR (GİDER),,22.152.832,20.053.873,19.635.830,13.234.980
160,TOPLAM KAPSAMLI GELİR (GİDER),,,,,,
161,,Toplam Kapsamlı Gelirin Dağılımı,,,,,
162,Toplam Kapsamlı Gelirin Dağılımı,,,,,,
163,,Kontrol Gücü Olmayan Paylar,,6.675.625,3.698.090,6.470.487,2.296.952
164,Kontrol Gücü Olmayan Paylar,,,,,,
165,,Ana Ortaklık Payları,,15.477.207,16.355.783,13.165.343,10.938.028
166,Ana Ortaklık Payları,,,,,,
