,0,1,2,3,4,5,6
30,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Olmayan Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,,
31,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılmayacak Diğer Paylar,,,,,
32,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılmayacak Diğer Paylar,,,,,,
33,,Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları,,,,,
34,Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları,,,,,,
35,,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları,,,,,
36,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları,,,,,,
37,,Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelire İlişkin Vergiler,26.0,-194.797,-58.729,-21.267,-1.716
38,Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelire İlişkin Vergiler,,,,,,
39,,Dönem Vergi (Gideri) Geliri,,,,,
40,Dönem Vergi (Gideri) Geliri,,,,,,
41,,Ertelenmiş Vergi (Gideri) Geliri,,,,,
42,Ertelenmiş Vergi (Gideri) Geliri,,,,,,
43,,"Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,
44,"Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,,
45,,"Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
46,"Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
47,,"Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
48,"Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
49,,"Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,
50,"Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları), Vergi Etkisi",,,,,,
51,,"Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları), Vergi Etkisi",,,,,
52,"Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları), Vergi Etkisi",,,,,,
53,,"Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler, Vergi Etkisi",,,,,
54,"Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler, Vergi Etkisi",,,,,,
55,,"Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Koruma Sağlayan Finansal Riskten Korunma Araçlarından Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,
56,"Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Koruma Sağlayan Finansal Riskten Korunma Araçlarından Kaynaklanan Kazançlar (Kayıplar), Vergi Etkisi",,,,,,
57,,"Özkaynak Yöntemine Göre Muhasebeleştirilen İştirak ve İş Ortaklıklarının Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelirlerinden Paylar, Vergi Etkisi",,,,,
58,"Özkaynak Yöntemine Göre Muhasebeleştirilen İştirak ve İş Ortaklıklarının Kar veya Zararda Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelirlerinden Paylar, Vergi Etkisi",,,,,,
59,,"Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,
60,"Yurtdışındaki İşletmelerin Çevrimi Dışındaki Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,,
61,,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,
62,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılmayacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,,
63,,Kar veya Zarar Olarak Yeniden Sınıflandırılacaklar,,11.154.843,1.368.733,2.178.634,132.843
64,Kar veya Zarar Olarak Yeniden Sınıflandırılacaklar,,,,,,
65,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları,,11.211.498,1.325.531,2.423.078,49.743
66,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları,,,,,,
67,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarından Kazançlar (Kayıplar),,,,,
68,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarından Kazançlar (Kayıplar),,,,,,
69,,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarındaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
70,Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farklarındaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
71,,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,
72,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,,
73,,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme Kazançları (Kayıpları),,,,,
74,Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme Kazançları (Kayıpları),,,,,,
75,,Satılmaya Hazır Finansal Varlıkların Yeniden Sınıflandırma Düzeltmeleri,,,,,
76,Satılmaya Hazır Finansal Varlıkların Yeniden Sınıflandırma Düzeltmeleri,,,,,,
77,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
78,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
79,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardan Kazançlar (Kayıplar),,,,,
80,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardan Kazançlar (Kayıplar),,,,,,
81,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
82,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklardaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
83,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Yeniden Sınıflandırılmasında Özkaynaklardan Çıkarılan ve Gerçeğe Uygun Değerde Yapılan Düzeltme Tutarı,,,,,
84,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Yeniden Sınıflandırılmasında Özkaynaklardan Çıkarılan ve Gerçeğe Uygun Değerde Yapılan Düzeltme Tutarı,,,,,,
85,,Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir (Gider),9.0,-73.441,57.745,-305.147,107.922
86,Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
87,,Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,
88,Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,,
89,,Nakit Akış Riskinden Korunma İşlemindeki Yeniden Sınıflandırma Düzeltmeleri,,,,,
90,Nakit Akış Riskinden Korunma İşlemindeki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
91,,Edinimi veya Yüklenimi Finansal Riskten Korunan Gerçekleşme Olasılığı Yüksek Tahmini İşlemin Konusunu Oluşturan Finansal Olmayan Varlığın (Yükümlülüğün) Defter Değerine Özkaynaklardan Çıkarılarak Eklenen Tutar,,,,,
92,Edinimi veya Yüklenimi Finansal Riskten Korunan Gerçekleşme Olasılığı Yüksek Tahmini İşlemin Konusunu Oluşturan Finansal Olmayan Varlığın (Yükümlülüğün) Defter Değerine Özkaynaklardan Çıkarılarak Eklenen Tutar,,,,,,
93,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma ile İlgili Diğer Kapsamlı Gelir (Gider),,,,,
94,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma ile İlgili Diğer Kapsamlı Gelir (Gider),,,,,,
95,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,
96,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,,
97,,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunmadaki Yeniden Sınıflandırma Düzeltmeleri,,,,,
98,Yurtdışındaki İşletmeye İlişkin Net Yatırım Riskinden Korunmadaki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
99,,Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
100,Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
101,,Opsiyonların Zaman Değerindeki Değişimden Kazançlar (Kayıplar),,,,,
102,Opsiyonların Zaman Değerindeki Değişimden Kazançlar (Kayıplar),,,,,,
103,,Opsiyonların Zaman Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,
104,Opsiyonların Zaman Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,,
105,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
106,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
107,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişimden Kazançlar (Kayıplar),,,,,
108,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişimden Kazançlar (Kayıplar),,,,,,
109,,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,
110,Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklerin Yeniden Sınıflandırma Düzeltmeleri,,,,,,
111,,Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,
112,Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir (Gider),,,,,,
113,,Yabancı Para Alım Satım Marjlarındaki Değişimden Kazançlar (Kayıplar),,,,,
114,Yabancı Para Alım Satım Marjlarındaki Değişimden Kazançlar (Kayıplar),,,,,,
115,,Yabancı Para Alım Satım Marjlarındaki Değişikliklerdeki Yeniden Sınıflandırma Düzeltmeleri,,,,,
116,Yabancı Para Alım Satım Marjlarındaki Değişikliklerdeki Yeniden Sınıflandırma Düzeltmeleri,,,,,,
117,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar,,,,,
118,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar,,,,,,
119,,Özkaynak Yöntemiyle Değerlenen Yatırımların Satılmaya Hazır Finansal Varlıklarının Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,
120,Özkaynak Yöntemiyle Değerlenen Yatırımların Satılmaya Hazır Finansal Varlıklarının Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları),,,,,,
121,,Özkaynak Yöntemiyle Değerlenen Yatırımların Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,
122,Özkaynak Yöntemiyle Değerlenen Yatırımların Nakit Akış Riskinden Korunma Kazançları (Kayıpları),,,,,,
123,,Özkaynak Yöntemiyle Değerlenen Yatırımların Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,
124,Özkaynak Yöntemiyle Değerlenen Yatırımların Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları),,,,,,
125,,Özkaynak Yöntemiyle Değerlenen Yatırımların Yabancı Para Çevrim Farkları Kazançları (Kayıpları),,,,,
126,Özkaynak Yöntemiyle Değerlenen Yatırımların Yabancı Para Çevrim Farkları Kazançları (Kayıpları),,,,,,
127,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kazançlar (Kayıplar),,,,,
128,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kazançlar (Kayıplar),,,,,,
129,,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları,,,,,
130,Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları,,,,,,
131,,Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kapsamlı Gelire İlişkin Vergiler,26.0,16.786,-14.543,60.703,-24.822
132,Kar veya Zararda Yeniden Sınıflandırılacak Diğer Kapsamlı Gelire İlişkin Vergiler,,,,,,
133,,Dönem Vergi (Gideri) Geliri,,,,,
134,Dönem Vergi (Gideri) Geliri,,,,,,
135,,Ertelenmiş Vergi (Gideri) Geliri,,,,,
136,Ertelenmiş Vergi (Gideri) Geliri,,,,,,
137,,"Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,
138,"Yurtdışındaki İşletmelerin Çevrimine İlişkin Yabancı Para Çevrim Farkları, Vergi Etkisi",,,,,,
139,,"Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları), Vergi Etkisi",,,,,
140,"Satılmaya Hazır Finansal Varlıkların Yeniden Değerleme ve/veya Sınıflandırma Kazançları (Kayıpları), Vergi Etkisi",,,,,,
141,,"Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
142,"Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklara İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
143,,"Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
144,"Nakit Akış Riskinden Korunmaya İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
145,,"Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları), Vergi Etkisi",,,,,
146,"Yurtdışındaki İşletmeye İlişkin Yatırım Riskinden Korunma Kazançları (Kayıpları), Vergi Etkisi",,,,,,
147,,"Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
148,"Opsiyonların Zaman Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
149,,"Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
150,"Forward Sözleşmesinin Forward Bileşeninin Değerindeki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
151,,"Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,
152,"Yabancı Para Alım Satım Marjlarındaki Değişikliklere İlişkin Diğer Kapsamlı Gelir, Vergi Etkisi",,,,,,
153,,"Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar, Vergi Etkisi",,,,,
154,"Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılacak Paylar, Vergi Etkisi",,,,,,
155,,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,
156,"Diğer Kar veya Zarar Olarak Yeniden Sınıflandırılacak Diğer Kapsamlı Gelir Unsurları, Vergi Etkisi",,,,,,
157,,DİĞER KAPSAMLI GELİR (GİDER),,12.642.147,1.505.585,2.682.084,143.354
158,DİĞER KAPSAMLI GELİR (GİDER),,,,,,
159,,TOPLAM KAPSAMLI GELİR (GİDER),,27.369.261,5.657.663,7.855.466,1.530.810
160,TOPLAM KAPSAMLI GELİR (GİDER),,,,,,
161,,Toplam Kapsamlı Gelirin Dağılımı,,,,,
162,Toplam Kapsamlı Gelirin Dağılımı,,,,,,
163,,Kontrol Gücü Olmayan Paylar,,5.243.502,128.204,2.243.852,40.015
164,Kontrol Gücü Olmayan Paylar,,,,,,
165,,Ana Ortaklık Payları,,22.125.759,5.529.459,5.611.614,1.490.795
166,Ana Ortaklık Payları,,,,,,
