,0,1,2,3,4,5,6,7
78,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,,,,,,,
79,,Diğer Kazançlar (Kayıplar),,,,,,
80,Diğer Kazançlar (Kayıplar),,,,,,,
81,,ESAS FAALİYET KARI (ZARARI),,14.308.053,4.147.392,5.019.279,1.486.443,
82,ESAS FAALİYET KARI (ZARARI),,,,,,,
83,,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,,,
84,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,,,,
85,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,,,
86,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,,,,
87,,Yatırım Faaliyetlerinden Gelirler,24,1.559.159,1.315.229,353.620,366.026,
88,Yatırım Faaliyetlerinden Gelirler,,,,,,,
89,,Yatırım Faaliyetlerinden Giderler,24,-486.231,-464.756,3.585,-283.007,
90,Yatırım Faaliyetlerinden Giderler,,,,,,,
91,,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,24,-57.078,66.582,-40.429,4.065,
92,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,,,,,,,
93,,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,,,
94,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,,,,
95,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,
96,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,,
97,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,
98,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,,,
99,,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,
100,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,,
101,,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,15.323.903,5.064.447,5.336.055,1.573.527,
102,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,,,,,,
103,,Finansman Gelirleri,25,9.524.821,3.284.807,3.424.459,763.271,
104,Finansman Gelirleri,,,,,,,
105,,Finansman Giderleri,25,-9.617.893,-3.536.980,-3.224.630,-880.721,
106,Finansman Giderleri,,,,,,,
107,,Net Parasal Pozisyon Kazançları (Kayıpları),,,,,,
108,Net Parasal Pozisyon Kazançları (Kayıpları),,,,,,,
109,,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,15.230.831,4.812.274,5.535.884,1.456.077,
110,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,,,,,,
111,,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,-503.717,-660.196,-362.502,-68.621,
112,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,,,,,,
113,,Dönem Vergi (Gideri) Geliri,26,-1.713.305,-437.430,-516.736,79.940,
114,Dönem Vergi (Gideri) Geliri,,,,,,,
115,,Ertelenmiş Vergi (Gideri) Geliri,26,1.209.588,-222.766,154.234,-148.561,
116,Ertelenmiş Vergi (Gideri) Geliri,,,,,,,
117,,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,14.727.114,4.152.078,5.173.382,1.387.456,
118,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,,
119,,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,
120,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,,,,
121,,DÖNEM KARI (ZARARI),,14.727.114,4.152.078,5.173.382,1.387.456,
122,DÖNEM KARI (ZARARI),,,,,,,
123,,Dönem Karının (Zararının) Dağılımı,,,,,,
124,Dönem Karının (Zararının) Dağılımı,,,,,,,
125,,Kontrol Gücü Olmayan Paylar,,970.635,56.404,372.091,34.913,
126,Kontrol Gücü Olmayan Paylar,,,,,,,
127,,Ana Ortaklık Payları,,13.756.479,4.095.674,4.801.291,1.352.543,
128,Ana Ortaklık Payları,,,,,,,
129,,Pay Başına Kazanç,,,,,,
130,Pay Başına Kazanç,,,,,,,
131,,Pay Başına Kazanç,,,,,,
132,Pay Başına Kazanç,,,,,,,
133,,Pay Başına Kazanç (Zarar),,,,,,
134,Pay Başına Kazanç (Zarar),,,,,,,
135,,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,
136,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,,
137,,,Pay Başına Kazanç,27,461970000,133960000,170880000,44220000.0
138,,Durdurulan Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,
139,Durdurulan Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,,,
140,,Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
141,Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
142,,Sürdürülen Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
143,Sürdürülen Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
144,,Durdurulan Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,
145,Durdurulan Faaliyetlerden Sulandırılmış Pay Başına Kazanç (Zarar),,,,,,,
