,LEVEL1,LEVEL2,LEVEL3,TARİH,DEĞER
26,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,30.06.2023,
27,VARLIKLAR,DÖNEN VARLIKLAR,Türkiye Cumhuriyet Merkez Bankası Hesabı,30.06.2023,
28,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Alacaklar,30.06.2023,709.277
29,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Diğer Alacaklar,30.06.2023,239.786
30,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Alacaklar,30.06.2023,469.491
31,VARLIKLAR,DÖNEN VARLIKLAR,Müşteri Sözleşmelerinden Doğan Varlıklar,30.06.2023,
32,VARLIKLAR,DÖNEN VARLIKLAR,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,30.06.2023,
33,VARLIKLAR,DÖNEN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,30.06.2023,
34,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Sözleşme Varlıkları,30.06.2023,
35,VARLIKLAR,DÖNEN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,30.06.2023,
36,VARLIKLAR,DÖNEN VARLIKLAR,Türev Araçlar,30.06.2023,555.616
37,VARLIKLAR,DÖNEN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,30.06.2023,
38,VARLIKLAR,DÖNEN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,30.06.2023,
39,VARLIKLAR,DÖNEN VARLIKLAR,Stoklar,30.06.2023,20.250.979
40,VARLIKLAR,DÖNEN VARLIKLAR,Proje Halindeki Stoklar,30.06.2023,
41,VARLIKLAR,DÖNEN VARLIKLAR,Canlı Varlıklar,30.06.2023,
42,VARLIKLAR,DÖNEN VARLIKLAR,Peşin Ödenmiş Giderler,30.06.2023,1.960.857
43,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflara Peşin Ödenmiş Giderler,30.06.2023,
44,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,30.06.2023,
45,VARLIKLAR,DÖNEN VARLIKLAR,Ertelenmiş Sigortacılık Üretim Giderleri,30.06.2023,
46,VARLIKLAR,DÖNEN VARLIKLAR,Cari Dönem Vergisiyle İlgili Varlıklar,30.06.2023,0
47,VARLIKLAR,DÖNEN VARLIKLAR,Nakit Dışı Serbest Kullanılabilir Teminatlar,30.06.2023,
48,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Dönen Varlıklar,30.06.2023,3.170.456
49,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Diğer Dönen Varlıklar,30.06.2023,
50,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Dönen Varlıklar,30.06.2023,
51,VARLIKLAR,DÖNEN VARLIKLAR,ARA TOPLAM,30.06.2023,82.691.691
52,VARLIKLAR,DÖNEN VARLIKLAR,Satış Amaçlı Sınıflandırılan Duran Varlıklar,30.06.2023,
53,VARLIKLAR,DÖNEN VARLIKLAR,Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıklar,30.06.2023,
54,VARLIKLAR,DÖNEN VARLIKLAR,TOPLAM DÖNEN VARLIKLAR,30.06.2023,82.691.691
55,VARLIKLAR,DURAN VARLIKLAR,DURAN VARLIKLAR,30.06.2023,
56,VARLIKLAR,DURAN VARLIKLAR,Finansal Yatırımlar,30.06.2023,137.857
57,VARLIKLAR,DURAN VARLIKLAR,Kullanımı Kısıtlı Banka Bakiyeleri,30.06.2023,
58,VARLIKLAR,DURAN VARLIKLAR,Vadeli Mevduatlar,30.06.2023,
59,VARLIKLAR,DURAN VARLIKLAR,Satılmaya Hazır Finansal Yatırımlar,30.06.2023,
60,VARLIKLAR,DURAN VARLIKLAR,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,30.06.2023,
61,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,30.06.2023,
62,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,30.06.2023,
63,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,30.06.2023,
64,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,30.06.2023,
65,VARLIKLAR,DURAN VARLIKLAR,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,30.06.2023,
66,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,30.06.2023,
67,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,30.06.2023,
68,VARLIKLAR,DURAN VARLIKLAR,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,30.06.2023,
69,VARLIKLAR,DURAN VARLIKLAR,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,30.06.2023,
70,VARLIKLAR,DURAN VARLIKLAR,Diğer Finansal Yatırımlar,30.06.2023,
71,VARLIKLAR,DURAN VARLIKLAR,"İştirakler, İş Ortaklıkları ve Bağlı Ortaklıklardaki Yatırımlar",30.06.2023,60.334
72,VARLIKLAR,DURAN VARLIKLAR,Ticari Alacaklar,30.06.2023,17.897
73,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Ticari Alacaklar,30.06.2023,
74,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Ticari Alacaklar,30.06.2023,17.897
75,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden Alacaklar,30.06.2023,
76,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,30.06.2023,
77,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,30.06.2023,
78,VARLIKLAR,DURAN VARLIKLAR,Diğer Alacaklar,30.06.2023,1.498.706
79,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Diğer Alacaklar,30.06.2023,1.498.706
80,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Alacaklar,30.06.2023,
81,VARLIKLAR,DURAN VARLIKLAR,Müşteri Sözleşmelerinden Doğan Varlıklar,30.06.2023,
82,VARLIKLAR,DURAN VARLIKLAR,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,30.06.2023,
83,VARLIKLAR,DURAN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,30.06.2023,
84,VARLIKLAR,DURAN VARLIKLAR,Diğer Sözleşme Varlıkları,30.06.2023,
85,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,30.06.2023,
86,VARLIKLAR,DURAN VARLIKLAR,Türev Araçlar,30.06.2023,483.829
87,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,30.06.2023,
88,VARLIKLAR,DURAN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,30.06.2023,
89,VARLIKLAR,DURAN VARLIKLAR,Stoklar,30.06.2023,
90,VARLIKLAR,DURAN VARLIKLAR,Özkaynak Yöntemiyle Değerlenen Yatırımlar,30.06.2023,
91,VARLIKLAR,DURAN VARLIKLAR,Canlı Varlıklar,30.06.2023,
92,VARLIKLAR,DURAN VARLIKLAR,Yatırım Amaçlı Gayrimenkuller,30.06.2023,
93,VARLIKLAR,DURAN VARLIKLAR,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,30.06.2023,
94,VARLIKLAR,DURAN VARLIKLAR,Maddi Duran Varlıklar,30.06.2023,26.507.627
95,VARLIKLAR,DURAN VARLIKLAR,Arazi ve Arsalar,30.06.2023,
96,VARLIKLAR,DURAN VARLIKLAR,Yeraltı ve Yerüstü Düzenlemeleri,30.06.2023,
97,VARLIKLAR,DURAN VARLIKLAR,Binalar,30.06.2023,
98,VARLIKLAR,DURAN VARLIKLAR,"Tesis, Makine ve Cihazlar",30.06.2023,
99,VARLIKLAR,DURAN VARLIKLAR,Taşıtlar,30.06.2023,
100,VARLIKLAR,DURAN VARLIKLAR,Mobilya ve Demirbaşlar,30.06.2023,
101,VARLIKLAR,DURAN VARLIKLAR,Özel Maliyetler,30.06.2023,
102,VARLIKLAR,DURAN VARLIKLAR,Taşıyıcı Bitkiler,30.06.2023,
103,VARLIKLAR,DURAN VARLIKLAR,Özel Tükenmeye Tabi Varlıklar,30.06.2023,
104,VARLIKLAR,DURAN VARLIKLAR,Yapılmakta Olan Yatırımlar,30.06.2023,
105,VARLIKLAR,DURAN VARLIKLAR,Faaliyet Kiralamasına Konu Varlıklar,30.06.2023,
106,VARLIKLAR,DURAN VARLIKLAR,Diğer Maddi Duran Varlıklar,30.06.2023,
107,VARLIKLAR,DURAN VARLIKLAR,Kullanım Hakkı Varlıkları,30.06.2023,206.227
108,VARLIKLAR,DURAN VARLIKLAR,Maddi Olmayan Duran Varlıklar,30.06.2023,10.102.452
109,VARLIKLAR,DURAN VARLIKLAR,Şerefiye,30.06.2023,710.778
110,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerinden Doğan Haklar,30.06.2023,
111,VARLIKLAR,DURAN VARLIKLAR,Diğer Haklar,30.06.2023,
112,VARLIKLAR,DURAN VARLIKLAR,Patentler,30.06.2023,
113,VARLIKLAR,DURAN VARLIKLAR,Markalar,30.06.2023,
114,VARLIKLAR,DURAN VARLIKLAR,Lisanslar,30.06.2023,
115,VARLIKLAR,DURAN VARLIKLAR,Bilgisayar Yazılımları,30.06.2023,
116,VARLIKLAR,DURAN VARLIKLAR,Aktifleştirilen Geliştirme Maliyetleri,30.06.2023,
117,VARLIKLAR,DURAN VARLIKLAR,Diğer Maddi Olmayan Duran Varlıklar,30.06.2023,9.391.674
118,VARLIKLAR,DURAN VARLIKLAR,Peşin Ödenmiş Giderler,30.06.2023,9.450.776
119,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflara Peşin Ödenmiş Giderler,30.06.2023,
120,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,30.06.2023,
121,VARLIKLAR,DURAN VARLIKLAR,Ertelenmiş Vergi Varlığı,30.06.2023,8.370.875
122,VARLIKLAR,DURAN VARLIKLAR,Cari Dönem Vergisiyle İlgili Duran Varlıklar,30.06.2023,
123,VARLIKLAR,DURAN VARLIKLAR,Nakit Dışı Serbest Kullanılabilir Teminatlar,30.06.2023,
124,VARLIKLAR,DURAN VARLIKLAR,Diğer Duran Varlıklar,30.06.2023,
125,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflara İlişkin Diğer Duran Varlıklar,30.06.2023,
126,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflara İlişkin Diğer Duran Varlıklar,30.06.2023,
127,VARLIKLAR,DURAN VARLIKLAR,TOPLAM DURAN VARLIKLAR,30.06.2023,56.836.580
128,VARLIKLAR,,TOPLAM VARLIKLAR,30.06.2023,139.528.271
129,KAYNAKLAR,,KAYNAKLAR,30.06.2023,
130,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,KISA VADELİ YÜKÜMLÜLÜKLER,30.06.2023,
131,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kısa Vadeli Borçlanmalar,30.06.2023,12.784.215
132,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Kısa Vadeli Borçlanmalar,30.06.2023,
133,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,
134,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,
135,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
136,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Borçlanmalar,30.06.2023,
137,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Kısa Vadeli Borçlanmalar,30.06.2023,12.784.215
138,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,12.784.215
139,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,
140,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
141,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Borçlanmalar,30.06.2023,
142,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,30.06.2023,10.754.460
143,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,30.06.2023,
144,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,
145,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,
146,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
147,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,30.06.2023,
148,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,30.06.2023,10.754.460
149,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,10.672.362
150,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,82.098
151,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
152,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,30.06.2023,
153,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Finansal Yükümlülükler,30.06.2023,
154,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kontrol Gücü Olmayan Paylara İlişkin Satış Opsiyon Yükümlülükleri,30.06.2023,
155,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finansal Teminat Sözleşmeleri,30.06.2023,
156,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Muhtelif Finansal Yükümlülükler,30.06.2023,
157,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ticari Borçlar,30.06.2023,41.568.744
158,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Ticari Borçlar,30.06.2023,7.126.875
159,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Ticari Borçlar,30.06.2023,34.441.869
160,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden Borçlar,30.06.2023,
161,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Taraflara Borçlar,30.06.2023,
162,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflara Borçlar,30.06.2023,
163,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,30.06.2023,2.125.995
164,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Borçlar,30.06.2023,1.135.254
165,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Borçlar,30.06.2023,0
166,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Borçlar,30.06.2023,1.135.254
167,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Müşteri Sözleşmelerinden Doğan Yükümlülükler,30.06.2023,
168,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Yükümlülükleri,30.06.2023,
169,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Mal ve Hizmet Satışlarından Doğan Sözleşme Yükümlülükleri,30.06.2023,
170,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Sözleşme Yükümlülükleri,30.06.2023,
171,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Özkaynak Yöntemiyle Değerlenen Yatırımlardan Yükümlülükler,30.06.2023,
172,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Türev Araçlar,30.06.2023,64.158
173,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Alım Satım Amaçlı Türev Araçlar,30.06.2023,
174,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Riskten Korunma Amaçlı Türev Araçlar,30.06.2023,
175,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Devlet Teşvik ve Yardımları,30.06.2023,
176,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),30.06.2023,328.819
177,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),30.06.2023,
178,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),30.06.2023,
179,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Dönem Karı Vergi Yükümlülüğü,30.06.2023,828.621
180,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Kısa Vadeli Karşılıklar,30.06.2023,744.943
181,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalara İlişkin Kısa Vadeli Karşılıklar,30.06.2023,
182,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Sigortacılık Teknik Karşılıkları,30.06.2023,
183,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Karşılıklar,30.06.2023,744.943
184,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Diğer Kısa Vadeli Yükümlülükler,30.06.2023,
185,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Kısa Vadeli Yükümlülükler,30.06.2023,
186,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Kısa Vadeli Yükümlülükler,30.06.2023,
187,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,ARA TOPLAM,30.06.2023,70.335.209
188,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Satış Amaçlı Sınıflandırılan Varlık Gruplarına İlişkin Yükümlülükler,30.06.2023,
189,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,Ortaklara Dağıtılmak Üzere Elde Tutulan Varlık Gruplarına İlişkin Yükümlülükler,30.06.2023,
190,KAYNAKLAR,KISA VADELİ YÜKÜMLÜLÜKLER,TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,30.06.2023,70.335.209
191,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,UZUN VADELİ YÜKÜMLÜLÜKLER,30.06.2023,
192,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Uzun Vadeli Borçlanmalar,30.06.2023,37.210.130
193,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflardan Uzun Vadeli Borçlanmalar,30.06.2023,9.122.395
194,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,
195,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,
196,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
197,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmalar,30.06.2023,9.122.395
198,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflardan Uzun Vadeli Borçlanmalar,30.06.2023,28.087.735
199,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Banka Kredileri,30.06.2023,27.929.270
200,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kiralama İşlemlerinden Borçlar,30.06.2023,158.465
201,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İhraç Edilmiş Borçlanma Araçları,30.06.2023,
202,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Uzun Vadeli Borçlanmalar,30.06.2023,
203,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Finansal Yükümlülükler,30.06.2023,
204,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Kontrol Gücü Olmayan Paylara İlişkin Satış Opsiyon Yükümlülükleri,30.06.2023,
205,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finansal Teminat Sözleşmeleri,30.06.2023,
206,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Muhtelif Finansal Yükümlülükler,30.06.2023,
207,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Ticari Borçlar,30.06.2023,
208,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Ticari Borçlar,30.06.2023,
209,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Ticari Borçlar,30.06.2023,
210,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden Borçlar,30.06.2023,
211,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Taraflara Borçlar,30.06.2023,
212,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflara Borçlar,30.06.2023,
213,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,30.06.2023,
214,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Diğer Borçlar,30.06.2023,
215,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Taraflara Diğer Borçlar,30.06.2023,
216,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,İlişkili Olmayan Taraflara Diğer Borçlar,30.06.2023,
217,KAYNAKLAR,UZUN VADELİ YÜKÜMLÜLÜKLER,Müşteri Sözleşmelerinden Doğan Yükümlülükler,30.06.2023,
